1,001,2,2,1,,Sigurimi fizik i objektit të Komunës dhe objekteve të QKMF-së në Ferizaj - Aneks,08.01.2014,"5,000.00",,"4,751.44",",,Rojet e nderit,, sh.p.k.",Prishtinë,1,1,1
"1,3",002,5,2,1,,Rregullimi i korridoreve të gjelbëra - projekt dyvjeçar i bashkëfinancuar në mes Komunës së Ferizajt dhe UN HABITAT.,09.01.2014,"270,000.00","272,900.69",,NSHP “IDEALI”,Ferizaj,1,1,1
1,003,1,3,6,,Furnizimi me produkte medicinale dhe material hargjues medicinal për nevojat e QKMF-së në Ferizaj.,10.02.2014,,"3,889.00",,NTSH “ATOM MED”,Ferizaj,1,1,1
1,004,1,3,6,,"Furnizimi me tonera për nevojat e Administratës Komunale, shkollave, QKMF-së,BZ-së dhe QPS-së në Ferizaj.",12.02.2014,"3,000.00","2,939.00",,NTP “LIBRI”,Ferizaj,1,1,1
2,005,2,2,1,,Mirëmbajtja e ndriçimit publik në territorin e komunës së Ferizajt,18.02.2014,"60,000.00","20,877.60",,N.SH. “BESA”,Ferizaj,1,1,1
1,006,1,3,6,,Furnizimi me oksigjen për nevojat e pacientëve të QKMF-së në Ferizaj.,28.02.2014,"2,000.00","1,910.00",,NPTSH “BUBEARI KOMERC”,Kaçanik,1,1,1
1,007,2,3,6,,Bartja e nxënësve me nevoja të veqanta në relacionin Ferizaj- Prizren dhe anasjelltas.,12.03.2014,"2,500.00","2,430.00",,SHA “MERKATORI”,Gjilan,1,1,1
1,008,1,2,1,,"LOT II: Servisimi i pajisjeve të TI-së për nevojat e adm. Komunale, shkollave, QKMF dhe QPS në Ferizaj, pika 4 e ofertës (furnizim me ngjyra-tonera…).",13.03.2014,"3,000.00",,"2,780.00","N.SH.T.P. ,,Gashi com”",Ferizaj,1,1,1
1,009,1,2,1,,Furnizimi me 10 serra për fermerët e Komunës së Ferizajt.,19.03.2014,"60,000.00","52,883.50",,N.Z.P. “Metaliku”,Gjilan,1,1,1
1,010,2,2,1,,"Regjistrimi i automjeteve të Administratës Komunale, QKMF-së dhe BZ  në Ferizaj.",21.03.2014,"20,000.00","18,555.20",,KS “SIGURIA” SHPK,Prishtine,1,1,1
